published,directory,view,version,entry_id,text_ocr,ner_xml,persons,activity,act_new,location,cardinality,nb_activities,nb_persons,nb_loc,nb_card,overall_score,geometry
1817,Panckoucke_hab_1817,539,v2:2022-06-20,7521980,"Rossel (le chev. de)* †, ancien capit. de vaisscau, — memb.
de l'acad. des sciences,—memb. du bur. des longit.,—direct..
adj. du dépôt des cartes, plans, etc. de la marine, r. Louis-
le-Grand. 21.","<PER>Rossel (le chev. de)</PER><TITRE>* †</TITRE>, <ACT>ancien capit. de vaisscau, — memb. de l'acad. des sciences,—memb. du bur. des longit.,—direct.. adj. du dépôt des cartes, plans, etc. de la marine</ACT>, <LOC>r. Louis- le-Grand</LOC>. <CARDINAL>21</CARDINAL>.",Rossel (le chev. de),"ancien capit. de vaisscau, — memb. de l'acad. des sciences,—memb. du bur. des longit.,—direct.. adj. du dépôt des cartes, plans, etc. de la marine","ancien capit. de vaisscau, - memb. de l'acad. des sciences,-memb. du bur. des longit.,-direct.. adj. du depot des cartes, plans, etc. de la marine",r. Louis- le-Grand,21,1,1,1,1,"NA",POINT EMPTY
1859,DidotBottin_1859a,164,v2:2022-06-20,7522152,"Corion, entoilage et vernissage de plans et
cartes géographiques, Gr.-Augustins, 45.","<PER>Corion</PER><ACT>, entoilage et vernissage de plans et cartes géographiques</ACT><LOC>, Gr.-Augustins</LOC>, <CARDINAL>45</CARDINAL>.",Corion,", entoilage et vernissage de plans et cartes géographiques",", entoilage et vernissage de plans et cartes geographiques",", Gr.-Augustins",45,1,1,1,1,0.549318,POINT (651806.4 6863049)
1887,DidotBottin_1887a,294,v2:2022-06-20,7525491,"Carion (Ch. Geffroy, gendre et success.), en-
toilage et vernissage de plans et cartes,
quai des Grands-Augustins, 45.","<PER>Carion (Ch. Geffroy, gendre et success.),</PER> <ACT>en- toilage et vernissage de plans et cartes</ACT>, <LOC>quai des Grands-Augustins</LOC>, <CARDINAL>45</CARDINAL>.","Carion (Ch. Geffroy, gendre et success.),",en- toilage et vernissage de plans et cartes,en- toilage et vernissage de plans et cartes,quai des Grands-Augustins,45,1,1,1,1,"NA",POINT (652114.8 6861456)
1896,DidotBottin_1896a,378,v2:2022-06-20,7526234,"Delion, cartes fantaiste et menus, r. de l'E
chiquier, 15.","<PER>Delion</PER><ACT>, cartes fantaiste et menus</ACT>, <LOC>r. de l</LOC>'<LOC>E chiquier</LOC>, <CARDINAL>15</CARDINAL>.",Delion,", cartes fantaiste et menus",", cartes fantaiste et menus","c(""r. de l"", ""E chiquier"")",15,1,1,2,1,"0.76, 0.846","MULTIPOINT ((651238.7 6863841), (652453.4 6863662))"
1894,DidotBottin_1894a,865,v2:2022-06-20,7531004,"erneau (Eugene), cartes systeme “ ruban,
IS
olie.Mrricouri.","<PER>erneau (Eugene),</PER> <ACT>cartes systeme “ ruban</ACT>, <LOC>IS olie</LOC>.<LOC>Mrric</LOC>ouri.","erneau (Eugene),",cartes systeme “ ruban,"cartes systeme "" ruban","c(""IS olie"", ""Mrric"")",NA,1,1,2,0,"NA, 0.66976",POINT (653879.7 6862929)
1890,DidotBottin_1890b,259,v2:2022-06-20,7535502,"Calvet (A.], Rochetre et C. fobr. de carten
nages. Francs-Bourgeois, h1.","<PER>Calvet (A.], Rochetre et C.</PER> <ACT>fobr. de carten nages</ACT>. <LOC>Francs-Bourgeois</LOC>, <CARDINAL>h</CARDINAL>1.","Calvet (A.], Rochetre et C.",fobr. de carten nages,fobr. de carten nages,Francs-Bourgeois,h,1,1,1,1,"NA",POINT EMPTY
1858,DidotBottin_1858a,347,v2:2022-06-20,7535947,"Lemoussu frères et Hirbec, cartes en feuilles,
Montmorency, Il ; fabrique, St-Maur-Po-","<PER>Lemoussu frères et Hirbec</PER>, <ACT>cartes en feuilles</ACT><LOC>, Montmorency</LOC>, <CARDINAL>Il</CARDINAL> ; fabrique, <LOC>St-Maur-Po</LOC>-",Lemoussu frères et Hirbec,cartes en feuilles,cartes en feuilles,"c("", Montmorency"", ""St-Maur-Po"")",Il,1,1,2,1,"0.7138, 0.621","MULTIPOINT ((648102.5 6863772), (652735 6862733))"
1873,DidotBottin_1873,252,v2:2022-06-20,7536429,"De Jonquières �, bibliothécaire an dépôl gé-
néral des cartes ef plans de la marine, Uni-
versité.","<PER>De Jonquières</PER> �<ACT>, bibliothécaire an dépôl gé- néral des cartes ef plans de la marine</ACT><LOC>, Uni- versité</LOC>.",De Jonquières,", bibliothécaire an dépôl gé- néral des cartes ef plans de la marine",", bibliothecaire an depol ge- neral des cartes ef plans de la marine",", Uni- versité",NA,1,1,1,0,0.38192,POINT (649286.6 6862560)
1873,DidotBottin_1873,252,v2:2022-06-20,7536549,"Delacroix, professeur au lyeée Descarte
Vicille-Estrapade. 15.","<PER>Delacroix</PER><ACT>, professeur au lyeée Descarte</ACT> <LOC>Vicille-Estrapade</LOC>. <CARDINAL>15</CARDINAL>.",Delacroix,", professeur au lyeée Descarte",", professeur au lyeee Descarte",Vicille-Estrapade,15,1,1,1,1,0.785088,POINT (652057.6 6860718)
1861,DidotBottin_1861a,304,v2:2022-06-20,7539756,"Gros, fab. de cartes en feuilles, Gracieuse,","<PER>Gros</PER>, <ACT>fab. de cartes en feuilles</ACT>, <LOC>Gracieuse</LOC>,",Gros,fab. de cartes en feuilles,fab. de cartes en feuilles,Gracieuse,NA,1,1,1,0,0.79,POINT (652414.1 6860283)
1861,DidotBottin_1861a,304,v2:2022-06-20,7539823,"Grosseln INC. et Cie, globes et cartes géogra-
phiques, Serpente, 25.","<PER>Grosseln INC. et Cie</PER><ACT>, globes et cartes géogra- phiques</ACT><LOC>, Serpente</LOC>, <CARDINAL>25</CARDINAL>.",Grosseln INC. et Cie,", globes et cartes géogra- phiques",", globes et cartes geogra- phiques",", Serpente",25,1,1,1,1,1,POINT (651717.4 6861557)
1874,DidotBottin_1874a,256,v2:2022-06-20,7543165,"De Courson (c“ Aurehien) 35, conscreatcur
sous-dircctcur adjvint a la Bibliothěnuc na-
ttonate (cartes cf plans), Babylone, 11.","<PER>De Courson (c“ Aurehien)</PER> 35<ACT>, conscreatcur sous-dircctcur adjvint a la Bibliothěnuc na- ttonate (cartes cf plans</ACT>), <LOC>Babylone</LOC>, <CARDINAL>11</CARDINAL>.",De Courson (c“ Aurehien),", conscreatcur sous-dircctcur adjvint a la Bibliothěnuc na- ttonate (cartes cf plans",", conscreatcur sous-dircctcur adjvint a la Bibliothenuc na- ttonate (cartes cf plans",Babylone,11,1,1,1,1,1,POINT (650355.2 6861500)
1838,Bottin1_1838,190,v2:2022-06-20,7547065,"Herder et co., libraires, cartes géographiques, Lille, 3.","<PER>Herder et co.,</PER> <ACT>libraires, cartes géographiques</ACT><LOC>, Lille</LOC>, <CARDINAL>3</CARDINAL>.","Herder et co.,","libraires, cartes géographiques","libraires, cartes geographiques",", Lille",3,1,1,1,1,1,POINT (651014.1 6862164)
1860,DidotBottin_1860a,345,v2:2022-06-20,7548329,"Lefort, plan, sur métaux, q. des Orfèvres, 42.","<PER>Lefort</PER><ACT>, plan, sur métaux</ACT>, <LOC>q. des Orfèvres</LOC>, <CARDINAL>42</CARDINAL>.",Lefort,", plan, sur métaux",", plan, sur metaux",q. des Orfèvres,42,1,1,1,1,0.705,POINT (651782.5 6861938)
1844,Didot_1844a,388,v2:2022-06-20,7551180,"Liévre, secrét. au dépôt des plans de la marine,
Universite, 13.","<PER>Liévre</PER><ACT>, secrét. au dépôt des plans de la marine</ACT><LOC>, Universite</LOC>, <CARDINAL>13</CARDINAL>.",Liévre,", secrét. au dépôt des plans de la marine",", secret. au depot des plans de la marine",", Universite",13,1,1,1,1,0.817,POINT (650825.1 6862093)
1893,DidotBottin_1893a,404,v2:2022-06-20,7553482,"bebenne (P.), papiers et cartes, rue du Faub.
St-Mártí","<PER>bebenne (P.),</PER> <ACT>papiers et cartes</ACT>, <LOC>rue du Faub. St-Márt</LOC>í","bebenne (P.),",papiers et cartes,papiers et cartes,rue du Faub. St-Márt,NA,1,1,1,0,"NA",POINT EMPTY
1893,DidotBottin_1893a,476,v2:2022-06-20,7555315,"Fournié, cartes en feuilles a façon ct fabr
de tivrets pour batteurs d'or, boul. de Cha
ronně. 88.","<PER>Fournié</PER>, <ACT>cartes en feuilles a façon ct fabr de tivrets pour batteurs d'or</ACT>, <LOC>boul. de Cha ronn</LOC>ě. <CARDINAL>88</CARDINAL>.",Fournié,cartes en feuilles a façon ct fabr de tivrets pour batteurs d'or,cartes en feuilles a facon ct fabr de tivrets pour batteurs d'or,boul. de Cha ronn,88,1,1,1,1,"NA",POINT EMPTY
1905,DidotBottin_1905a,198,v2:2022-06-20,7559833,"av, cartes de tisile. F. de Rivolf, 158.","av, <ACT>cartes de tisile</ACT>. <LOC>F. de Rivolf</LOC>, <CARDINAL>158</CARDINAL>.",NA,cartes de tisile,cartes de tisile,F. de Rivolf,158,1,0,1,1,"NA",POINT EMPTY
1885,DidotBottin_1885a,299,v2:2022-06-20,7566138,"
Cheysson (E.) *, ingénieur en chef des ponts
et chaussées, directeur des eartes, plans, etc.,
au minstère des travaux publics, boul. St-
Germain, 115.
Chez (Léon), vins, Pauquet, 13.
Chezal (P.), chef du secrétariat et agent spě-
cial du Muséum d'histoire naturelle, Cu-
vier, 57.
Chezaud (Jules), articles pour confiseurs,
Vieille-du-Temple, 15.
Chèze, futailles d'emballage et vins, Départe-
ment. 31"," <PER>Cheysson (E.)</PER> <TITRE>*</TITRE><ACT>, ingénieur en chef des ponts et chaussées, directeur des eartes, plans, etc., au minstère des travaux publics</ACT>, <LOC>boul. St- Germain</LOC>, <CARDINAL>115</CARDINAL>. <PER>Chez (Léon),</PER> <ACT>vins</ACT>, <LOC>Pauquet</LOC>, <CARDINAL>13</CARDINAL>. <PER>Chezal (P.),</PER> <ACT>chef du secrétariat et agent spě- cial du Muséum d'histoire naturelle</ACT><LOC>, Cu- vier</LOC>, <CARDINAL>57</CARDINAL>. <PER>Chezaud (Jules),</PER> <ACT>articles pour confiseurs</ACT><LOC>, Vieille-du-Temple</LOC>, <CARDINAL>15</CARDINAL>. <PER>Chèze</PER><ACT>, futailles d'emballage et vins</ACT>, <LOC>Départe- ment</LOC>. <CARDINAL>31</CARDINAL>","c(""Cheysson (E.)"", ""Chez (Léon),"", ""Chezal (P.),"", ""Chezaud (Jules),"", ""Chèze"")","c("", ingénieur en chef des ponts et chaussées, directeur des eartes, plans, etc., au minstère des travaux publics"", ""vins"", ""chef du secrétariat et agent spě- cial du Muséum d'histoire naturelle"", ""articles pour confiseurs"", "", futailles d'emballage et vins"")","c("", ingenieur en chef des ponts et chaussees, directeur des eartes, plans, etc., au minstere des travaux publics"", ""vins"", ""chef du secretariat et agent spe- cial du Museum d'histoire naturelle"", ""articles pour confiseurs"", "", futailles d'emballage et vins"")","c(""boul. St- Germain"", ""Pauquet"", "", Cu- vier"", "", Vieille-du-Temple"", ""Départe- ment"")","c(""115"", ""13"", ""57"", ""15"", ""31"")",5,5,5,5,"0.66912, 0.9, 0, NA, 0.94","MULTIPOINT ((648458.7 6863445), (651420.1 6861590), (653358.9 6865285))"
1867,notables_commercants_1867,100,v2:2022-06-20,7571046,"Graines fourragères, potagèses, de fleurs et forestières. Ar-
bres forestiers ef d'ornement. Griffes et ognons à fleurs, arbres
fruitiers et d'agrément, plans d'arbres frnitiers et forestiers. —
Expédition, exportation. — Anclonne maison C. Tollard, foudée
en 18 0. Juge au tribunal de commerce de la seine.","<PER>Graines</PER> <ACT>fourragères, potagèses, de fleurs et forestières. Ar- bres forestiers ef d'ornement. Griffes et ognons à fleurs, arbres fruitiers et d'agrément, plans d'arbres frnitiers et forestiers. — Expédition, exportation</ACT>. — Anclonne maison C. <LOC>Tol</LOC>lard, <LOC>foudée</LOC> en <CARDINAL>18</CARDINAL> 0. <ACT>Juge au tribunal de commerce de la sein</ACT>e.",Graines,"c(""fourragères, potagèses, de fleurs et forestières. Ar- bres forestiers ef d'ornement. Griffes et ognons à fleurs, arbres fruitiers et d'agrément, plans d'arbres frnitiers et forestiers. — Expédition, exportation"", ""Juge au tribunal de commerce de la sein"")","c(""fourrageres, potageses, de fleurs et forestieres. Ar- bres forestiers ef d'ornement. Griffes et ognons a fleurs, arbres fruitiers et d'agrement, plans d'arbres frnitiers et forestiers. - Expedition, exportation"", ""Juge au tribunal de commerce de la sein"")","c(""Tol"", ""foudée"")",18,2,1,2,1,"0, 0.685995","MULTIPOINT ((651457 6861510), (654104.5 6864975))"
1874,DidotBottin_1874a,509,v2:2022-06-20,7571448,"Pierron 34s, projesseur de 2 au lycée Des-
cartes,
ASsas, 7","<PER>Pierron</PER> <TITRE>34</TITRE>s<ACT>, projesseur de 2 au lycée Des- cartes</ACT><LOC>, ASsas</LOC>, <CARDINAL>7</CARDINAL>",Pierron,", projesseur de 2 au lycée Des- cartes",", projesseur de 2 au lycee Des- cartes",", ASsas",7,1,1,1,1,0.85,POINT (650704.4 6861289)
1841,Didot_1841a,169,v2:2022-06-20,7572822,"Beautemps-Beaupré, C. , conservat. des
plans de la marine, Université, 13.","<PER>Beautemps-Beaupré,</PER> <TITRE>C.</TITRE> <ACT>, conservat. des plans de la marine</ACT>, <LOC>Université</LOC>, <CARDINAL>13</CARDINAL>.","Beautemps-Beaupré,",", conservat. des plans de la marine",", conservat. des plans de la marine",Université,13,1,1,1,1,0.817,POINT (650825.1 6862093)
1885,DidotBottin_1885a,275,v2:2022-06-20,7573902,"Larion (Ch. Geffroy, gendre et success.), en-
toilage et vernissage de plans et cartes,
quai des Grands-Augustins, 45.","<PER>Larion (Ch. Geffroy, gendre et success.),</PER> <ACT>en- toilage et vernissage de plans et cartes</ACT>, <LOC>quai des Grands-Augustins</LOC>, <CARDINAL>45</CARDINAL>.","Larion (Ch. Geffroy, gendre et success.),",en- toilage et vernissage de plans et cartes,en- toilage et vernissage de plans et cartes,quai des Grands-Augustins,45,1,1,1,1,"NA",POINT (652114.8 6861456)
1904,DidotBottin_1904a,76,v2:2022-06-20,7579509,"Bartholy (Vve
d'emballage,
J.), carton, cartes et papier
r. Michel-le-Comte, 5 et 12. (3e","<PER>Bartholy (Vve</PER> <ACT>d'emballage, J.), carton, cartes et papier</ACT> <LOC>r. Michel-le-Comte</LOC>, <CARDINAL>5</CARDINAL> et <CARDINAL>12</CARDINAL>. (3e",Bartholy (Vve,"d'emballage, J.), carton, cartes et papier","d'emballage, J.), carton, cartes et papier",r. Michel-le-Comte,"c(""5"", ""12"")",1,1,1,2,"NA",POINT EMPTY
1854,Bottin3_1854a,386,v2:2022-06-20,7581009,"Picquet (Ch.), K. cartes
ograph., q. Conti, 17","<PER>Picquet (Ch.),</PER> <ACT>K. cartes ograph.</ACT>, <LOC>q. Conti</LOC>, <CARDINAL>17</CARDINAL>","Picquet (Ch.),",K. cartes ograph.,K. cartes ograph.,q. Conti,17,1,1,1,1,0.7553,POINT (651210.5 6861956)
1899,DidotBottin_1899a,268,v2:2022-06-20,7581219,"Andriveau-Goujon (Henri Barrère success.),
cartes géographiques, r. du Bac, 4.","<PER>Andriveau-Goujon (Henri Barrère success.),</PER> <ACT>cartes géographiques</ACT>, <LOC>r. du Bac</LOC>, <CARDINAL>4</CARDINAL>.","Andriveau-Goujon (Henri Barrère success.),",cartes géographiques,cartes geographiques,r. du Bac,4,1,1,1,1,"NA",POINT EMPTY
1849,Didot_1849a,615,v2:2022-06-20,7587738,"Sonet-Morin (Vve), fabr. cartes a jouer, Saint-
Denis, 268, cour des Bleus, et Grenétat, 38.","<PER>Sonet-Morin (Vve),</PER> <ACT>fabr. cartes a jouer</ACT><LOC>, Saint- Denis</LOC>, <CARDINAL>268</CARDINAL>, <LOC>cour des Bleus</LOC>, et <LOC>Grenétat</LOC>, <CARDINAL>38</CARDINAL>.","Sonet-Morin (Vve),",fabr. cartes a jouer,fabr. cartes a jouer,"c("", Saint- Denis"", ""cour des Bleus"", ""Grenétat"")","c(""268"", ""38"")",1,1,3,2,"0.7104, NA, 0.8463","MULTIPOINT ((652247.1 6863011), (652914.3 6864787))"
1851,Didot_1851a,89,v2:2022-06-20,7591326,"Angliviel , biblioth. du dépôt général des
cartes, plans des colonies et de la marine,
Vaugirard, 28.","<PER>Angliviel</PER> <ACT>, biblioth. du dépôt général des cartes, plans des colonies et de la marine</ACT><LOC>, Vaugirard</LOC>, <CARDINAL>28</CARDINAL>.",Angliviel,", biblioth. du dépôt général des cartes, plans des colonies et de la marine",", biblioth. du depot general des cartes, plans des colonies et de la marine",", Vaugirard",28,1,1,1,1,1,POINT (651328.5 6861243)
1888,DidotBottin_1888,201,v2:2022-06-20,7593143,"Bertaux (E.), globes et cartes géograplaques
25.
et astronomiques, Serpente,","<PER>Bertaux (E.),</PER> <ACT>globes et cartes géograplaques 25. et astronomiques</ACT>, <LOC>Serpente</LOC>,","Bertaux (E.),",globes et cartes géograplaques 25. et astronomiques,globes et cartes geograplaques 25. et astronomiques,Serpente,NA,1,1,1,0,0.77,POINT (651845.7 6861493)
1887,DidotBottin_1887a,453,v2:2022-06-20,7593695,"Girard (Georges), papter et cartes en porce-
E
Allée-Verle.","<PER>Girard (Georges),</PER> <ACT>papter et cartes en porce-</ACT> <LOC>E Allée-Verle</LOC>.","Girard (Georges),",papter et cartes en porce-,papter et cartes en porce-,E Allée-Verle,NA,1,1,1,0,"NA",POINT EMPTY
1849,Didot_1849a,391,v2:2022-06-20,7596525,"Clement (Mme
,tireuse de cartes, Tournon, 5.","<PER>Clement (Mme</PER> <ACT>,tireuse de cartes</ACT><LOC>, Tournon</LOC>, <CARDINAL>5</CARDINAL>.",Clement (Mme,",tireuse de cartes",",tireuse de cartes",", Tournon",5,1,1,1,1,0.92,POINT (651366.4 6861436)
1863,DidotBottin_1863a,142,v2:2022-06-20,7597179,"Andriveau-Goujon (E.) INC], cartes géographi-
ques, Bac. 21.","<PER>Andriveau-Goujon (E.)</PER> <TITRE>INC]</TITRE><ACT>, cartes géographi- ques</ACT>, <LOC>Bac</LOC>. <CARDINAL>21</CARDINAL>.",Andriveau-Goujon (E.),", cartes géographi- ques",", cartes geographi- ques",Bac,21,1,1,1,1,1,POINT (650714.5 6862206)
1873,DidotBottin_1873,397,v2:2022-06-20,7597324,"Le Bourgeois, (abr. de cartes a jouer, Banque,","<PER>Le Bourgeois</PER><ACT>, (abr. de cartes a jouer</ACT><LOC>, Banque</LOC>,",Le Bourgeois,", (abr. de cartes a jouer",", (abr. de cartes a jouer",", Banque",NA,1,1,1,0,0.8463,POINT (651622.5 6863244)
1883,DidotBottin_1883a,234,v2:2022-06-20,7598066,"Caillol, entoilage et -vernissage de plans et
cartes géoqraphiques, Fossés-St-Jacques. 8.","<PER>Caillol</PER><ACT>, entoilage et -vernissage de plans et cartes géoqraphiques</ACT>, <LOC>Fossés-St-Jacques</LOC>. <CARDINAL>8</CARDINAL>.",Caillol,", entoilage et -vernissage de plans et cartes géoqraphiques",", entoilage et -vernissage de plans et cartes geoqraphiques",Fossés-St-Jacques,8,1,1,1,1,"NA",POINT EMPTY
1840,Cambon_almgene_1840,112,v2:2022-06-20,7601648,"Blanchon (mad.) tire les cartes. Croix des
Petits Champs, 37.","<PER>Blanchon (mad.)</PER> <ACT>tire les cartes</ACT>. <LOC>Croix des Petits Champs</LOC>, <CARDINAL>37</CARDINAL>.",Blanchon (mad.),tire les cartes,tire les cartes,Croix des Petits Champs,37,1,1,1,1,"NA",POINT EMPTY
